姓名,科目1,科目2,科目3,科目4,科目5
游一鈺,75,48,87,77,56
黃柏宇,90,88,47,62,72
黃名明,65,87,71,78,54
林冠蕙,94,49,81,54,45
周芷蓁,62,50,73,80,67
吳柏誠,64,75,86,85,87
林淑安,81,99,80,65,51
梁柏宇,57,80,86,61,49
吳麗卿,95,67,73,78,78
劉嘉泰,84,87,74,71,42
趙家豪,71,41,40,62,77
葉軍仰,91,97,60,51,51
周芷蓁,100,91,67,50,52
王品星,77,97,55,77,43
孫火清,71,54,70,99,87
李美洋,75,94,83,84,41
王梅劭,64,78,65,89,100
周琬婷,89,40,54,98,60
孫宜珊,96,65,51,86,86
藍哲嘉,56,81,88,54,60
陳姵彬,89,88,69,41,56
劉萬季,48,92,71,42,75
趙偉銘,83,46,47,93,69
林珈發,77,47,42,77,69
吳明妮,99,55,94,77,86
黃旻林,52,52,68,46,65
張婕妤,68,75,59,49,52
馮淑芬,54,91,56,55,98
劉旭士,83,70,79,52,92
劉慧君,40,91,54,78,85
林怡偉,91,96,44,93,91
朱彥志,96,73,54,94,84
簡佳樺,49,46,52,89,51
劉耿琦,42,63,50,74,58
王怡珊,86,63,75,65,97
鍾俞禎,42,97,74,60,97
陳逸華,47,82,60,78,75
柯韋成,42,83,76,55,48
林詠斌,63,82,86,53,93
張彥博,80,50,100,95,41
李慈啟,44,60,42,42,92
蔡明平,42,90,80,53,88
方筠紹,72,47,46,66,73
陳慧君,81,73,96,47,96
黃靜怡,52,55,50,75,83
李政白,70,85,94,56,82
唐雪豪,86,81,45,63,46
林思賢,48,88,97,99,56
陳家年,90,53,65,85,71
黃翔杰,57,67,53,72,50
