姓名,科目1,科目2,科目3,科目4,科目5,科目6,科目7
林士凱,60,48,73,88,80,52,66
劉雯芬,64,78,90,86,46,61,50
林希啟,87,54,42,40,99,49,61
林佳光,95,60,60,60,81,81,52
楊火帆,65,60,75,40,44,67,58
翁羽威,89,99,86,50,50,79,77
林瑞喬,71,62,61,74,73,99,64
沈心利,93,48,76,86,95,54,78
葉祖雄,52,42,83,63,99,43,85
唐雪豪,89,62,96,98,74,79,93
陳得映,95,95,98,74,49,52,97
孫火清,45,62,93,87,47,97,42
翁羽威,87,80,68,44,46,77,68
李淑芳,69,58,93,83,91,88,88
楊又源,75,51,70,90,84,52,81
劉雯芬,84,54,62,80,74,72,60
余宗儒,77,46,67,58,64,60,60
楊韻如,80,61,87,72,49,95,88
王士銘,75,41,83,92,52,58,83
黃淑芬,68,88,76,68,83,92,68
黃淑芬,46,65,51,91,89,69,63
金宜芳,82,92,69,50,71,99,96
林康亮,60,73,43,61,46,59,44
林建宏,70,100,54,93,64,89,88
張家秀,52,83,95,53,81,90,41
蕭怡伶,88,76,86,46,73,42,42
許淑婷,96,99,65,73,43,94,69
張牧聿,63,92,56,69,66,85,90
余丞苓,46,63,66,91,60,52,58
馬彥文,82,44,41,77,89,79,78
姜琬婷,68,73,44,85,99,47,58
謝貞妃,94,86,88,95,85,75,52
景歡燦,56,60,68,96,73,90,97
朱彥志,63,99,54,50,74,43,98
陳筱涵,82,45,74,54,56,72,71
姜琬婷,52,43,44,86,41,71,81
彭虹屏,83,81,74,72,74,43,41
李政白,61,92,96,43,85,47,71
黃佩玲,55,45,50,55,40,57,77
姜琬婷,82,81,80,86,59,70,47
林昱芳,99,72,72,88,82,69,49
錢欣潔,42,86,52,56,98,48,65
胡姿婷,99,91,87,69,92,82,86
林佳人,84,85,82,92,46,90,62
洪阿惠,97,73,89,90,42,74,65
張嘉韋,42,48,45,91,88,97,79
劉依婷,92,87,70,53,40,65,91
黃彥孝,91,82,72,93,57,60,62
翁鈺婷,81,55,83,75,51,41,43
楊韻如,60,52,67,63,84,79,97
