姓名,科目1,科目2,科目3,科目4
趙宛真,65,44,66,88
周琬婷,61,88,71,64
楊韋廷,41,68,63,88
余丞苓,41,55,79,68
蔡孟泉,72,75,44,100
陳嘉淑,48,71,74,59
蔡欣汝,47,93,88,98
林珍旺,82,69,65,83
黃婷婷,79,49,66,67
林珈發,42,93,42,57
林珈發,97,51,92,50
黃必琪,55,67,44,72
黃詩妃,82,77,52,90
林冠蕙,60,75,84,72
蔡欣汝,83,97,41,55
洪阿惠,91,58,86,89
童建霖,68,52,79,47
陳冠竹,80,91,86,66
游倫城,75,46,46,75
吳振瑋,99,68,87,64
黎惠雯,99,73,80,44
黃靜怡,42,85,93,93
游詩亞,85,84,48,41
梁柏宇,81,48,56,71
鄭憲定,53,67,82,46
陳美惠,91,53,83,87
邱亭君,48,46,70,72
李蓉瑞,99,81,42,76
余月修,54,87,59,40
楊易政,42,54,82,94
郭淑真,77,99,96,86
林瑞喬,92,92,45,64
李立偉,53,48,66,65
陳淑萍,48,66,96,61
馮芳如,62,99,74,65
鄭佳玲,79,73,68,44
王明昇,59,69,94,72
余丞苓,88,80,63,57
楊韻如,83,54,74,76
張莉雯,87,70,67,73
郭舜昇,75,45,68,62
鄭淑珍,75,48,71,74
錢欣潔,42,41,50,57
黃彥孝,96,56,89,76
張凱妮,70,72,78,42
蒙淑惠,56,86,94,93
李美洋,68,46,69,46
吳志宣,52,95,52,95
林佳蓉,83,75,97,79
鄭佳玲,91,90,45,98
